  -0.02 A-V:-1340884514.485 fd=   0 aq=  119KB vq=    1KB sq=    0B f=0/0   
   0.01 A-V:-1340884514.485 fd=   0 aq= 1692KB vq=    1KB sq=    0B f=0/0   
   5.32 A-V: -0.235 fd=   0 aq= 2214KB vq=    0KB sq=    0B f=0/0   
   5.35 A-V: -0.234 fd=   0 aq= 2214KB vq=    0KB sq=    0B f=0/0   
   5.38 A-V: -0.232 fd=   0 aq= 2213KB vq=    0KB sq=    0B f=0/0   
   5.41 A-V: -0.231 fd=   0 aq= 2213KB vq=    0KB sq=    0B f=0/0   
   5.44 A-V: -0.231 fd=   0 aq= 2212KB vq=    0KB sq=    0B f=0/0   
   5.46 A-V: -0.238 fd=   0 aq= 2211KB vq=    0KB sq=    0B f=0/0   
   5.49 A-V: -0.238 fd=   0 aq= 2211KB vq=    0KB sq=    0B f=0/0   
   5.53 A-V: -0.236 fd=   0 aq= 2210KB vq=    0KB sq=    0B f=0/0   
   5.56 A-V: -0.235 fd=   0 aq= 2210KB vq=    0KB sq=    0B f=0/0   
   5.59 A-V: -0.233 fd=   0 aq= 2209KB vq=    0KB sq=    0B f=0/0   
   5.61 A-V: -0.243 fd=   0 aq= 2209KB vq=    0KB sq=    0B f=0/0   
   5.65 A-V: -0.240 fd=   0 aq= 2208KB vq=    0KB sq=    0B f=0/0   
   5.68 A-V: -0.239 fd=   0 aq= 2207KB vq=    0KB sq=    0B f=0/0   
   5.71 A-V: -0.237 fd=   0 aq= 2207KB vq=    0KB sq=    0B f=0/0   
   5.75 A-V: -0.226 fd=   0 aq= 2206KB vq=    0KB sq=    0B f=0/0   
   5.77 A-V: -0.234 fd=   0 aq= 2206KB vq=    0KB sq=    0B f=0/0   
   5.81 A-V: -0.233 fd=   0 aq= 2205KB vq=    0KB sq=    0B f=0/0   
   5.84 A-V: -0.231 fd=   0 aq= 2204KB vq=    0KB sq=    0B f=0/0   
   5.87 A-V: -0.230 fd=   0 aq= 2204KB vq=    0KB sq=    0B f=0/0   
   5.90 A-V: -0.228 fd=   0 aq= 2203KB vq=    0KB sq=    0B f=0/0   
   5.92 A-V: -0.237 fd=   0 aq= 2203KB vq=    0KB sq=    0B f=0/0   
   5.95 A-V: -0.235 fd=   0 aq= 2202KB vq=    0KB sq=    0B f=0/0   
   5.98 A-V: -0.234 fd=   0 aq= 2202KB vq=    0KB sq=    0B f=0/0   
   6.01 A-V: -0.234 fd=   0 aq= 2201KB vq=    0KB sq=    0B f=0/0   
   6.05 A-V: -0.231 fd=   0 aq= 2200KB vq=    0KB sq=    0B f=0/0   
   6.08 A-V: -0.231 fd=   0 aq= 2200KB vq=    0KB sq=    0B f=0/0   
   6.10 A-V: -0.239 fd=   0 aq= 2199KB vq=    0KB sq=    0B f=0/0   
   6.13 A-V: -0.238 fd=   0 aq= 2199KB vq=    0KB sq=    0B f=0/0   
   6.16 A-V: -0.236 fd=   0 aq= 2199KB vq=    0KB sq=    0B f=0/0   
   6.19 A-V: -0.235 fd=   0 aq= 2198KB vq=    0KB sq=    0B f=0/0   
   6.23 A-V: -0.233 fd=   0 aq= 2197KB vq=    0KB sq=    0B f=0/0   
   6.25 A-V: -0.243 fd=   0 aq= 2197KB vq=    0KB sq=    0B f=0/0   
   6.28 A-V: -0.240 fd=   0 aq= 2196KB vq=    0KB sq=    0B f=0/0   
   6.31 A-V: -0.239 fd=   0 aq= 2196KB vq=    0KB sq=    0B f=0/0   
   6.34 A-V: -0.237 fd=   0 aq= 2195KB vq=    0KB sq=    0B f=0/0   
   6.38 A-V: -0.226 fd=   0 aq= 2194KB vq=    0KB sq=    0B f=0/0   
   6.40 A-V: -0.234 fd=   0 aq= 2194KB vq=    0KB sq=    0B f=0/0   
   6.44 A-V: -0.233 fd=   0 aq= 2193KB vq=    0KB sq=    0B f=0/0   
   6.47 A-V: -0.231 fd=   0 aq= 2192KB vq=    0KB sq=    0B f=0/0   
   6.50 A-V: -0.230 fd=   0 aq= 2192KB vq=    0KB sq=    0B f=0/0   
   6.53 A-V: -0.228 fd=   0 aq= 2191KB vq=    0KB sq=    0B f=0/0   
   6.55 A-V: -0.237 fd=   0 aq= 2191KB vq=    0KB sq=    0B f=0/0   
   6.58 A-V: -0.237 fd=   0 aq= 2190KB vq=    0KB sq=    0B f=0/0   
   6.61 A-V: -0.234 fd=   0 aq= 2189KB vq=    0KB sq=    0B f=0/0   
   6.64 A-V: -0.234 fd=   0 aq= 2189KB vq=    0KB sq=    0B f=0/0   
   6.68 A-V: -0.231 fd=   0 aq= 2189KB vq=    0KB sq=    0B f=0/0   
   6.71 A-V: -0.230 fd=   0 aq= 2188KB vq=    0KB sq=    0B f=0/0   
   6.74 A-V: -0.239 fd=   0 aq= 2188KB vq=    0KB sq=    0B f=0/0   
   6.77 A-V: -0.238 fd=   0 aq= 2187KB vq=    0KB sq=    0B f=0/0   
   6.80 A-V: -0.236 fd=   0 aq= 2186KB vq=    0KB sq=    0B f=0/0   
   6.83 A-V: -0.235 fd=   0 aq= 2185KB vq=    0KB sq=    0B f=0/0   
   6.86 A-V: -0.233 fd=   0 aq= 2185KB vq=    0KB sq=    0B f=0/0   
   6.88 A-V: -0.243 fd=   0 aq= 2185KB vq=    0KB sq=    0B f=0/0   
   6.91 A-V: -0.240 fd=   0 aq= 2184KB vq=    0KB sq=    0B f=0/0   
   6.95 A-V: -0.239 fd=   0 aq= 2184KB vq=    0KB sq=    0B f=0/0   
   6.98 A-V: -0.237 fd=   0 aq= 2183KB vq=    0KB sq=    0B f=0/0   
   7.01 A-V: -0.236 fd=   0 aq= 2182KB vq=    0KB sq=    0B f=0/0   
   7.05 A-V: -0.226 fd=   0 aq= 2182KB vq=    0KB sq=    0B f=0/0   
   7.07 A-V: -0.233 fd=   0 aq= 2181KB vq=    0KB sq=    0B f=0/0   
   7.10 A-V: -0.232 fd=   0 aq= 2181KB vq=    0KB sq=    0B f=0/0   
   7.14 A-V: -0.230 fd=   0 aq= 2180KB vq=    0KB sq=    0B f=0/0   
   7.17 A-V: -0.230 fd=   0 aq= 2179KB vq=    0KB sq=    0B f=0/0   
   7.20 A-V: -0.228 fd=   0 aq= 2179KB vq=    0KB sq=    0B f=0/0   
   7.22 A-V: -0.237 fd=   0 aq= 2178KB vq=    0KB sq=    0B f=0/0   
   7.25 A-V: -0.235 fd=   0 aq= 2178KB vq=    0KB sq=    0B f=0/0   
   7.28 A-V: -0.234 fd=   0 aq= 2177KB vq=    0KB sq=    0B f=0/0   
   7.31 A-V: -0.232 fd=   0 aq= 2177KB vq=    0KB sq=    0B f=0/0   
   7.34 A-V: -0.231 fd=   0 aq= 2176KB vq=    0KB sq=    0B f=0/0   
   7.37 A-V: -0.239 fd=   0 aq= 2175KB vq=    0KB sq=    0B f=0/0   
   7.40 A-V: -0.238 fd=   0 aq= 2175KB vq=    0KB sq=    0B f=0/0   
   7.43 A-V: -0.236 fd=   0 aq= 2174KB vq=    0KB sq=    0B f=0/0   
   7.46 A-V: -0.235 fd=   0 aq= 2174KB vq=    0KB sq=    0B f=0/0   
   7.49 A-V: -0.233 fd=   0 aq= 2173KB vq=    0KB sq=    0B f=0/0   
   7.51 A-V: -0.242 fd=   0 aq= 2173KB vq=    0KB sq=    0B f=0/0   
   7.54 A-V: -0.242 fd=   0 aq= 2172KB vq=    0KB sq=    0B f=0/0   
   7.58 A-V: -0.239 fd=   0 aq= 2171KB vq=    0KB sq=    0B f=0/0   
   7.61 A-V: -0.238 fd=   0 aq= 2171KB vq=    0KB sq=    0B f=0/0   
   7.64 A-V: -0.236 fd=   0 aq= 2170KB vq=    0KB sq=    0B f=0/0   
